Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:";
1612281245.7717705,2434,-1.4178218841552734;;;;;;
1612281247.7535017,2445,-1.4962172508239746;;;;;;
1612281247.7535017,2449,-1.4151355028152466;;;;;;
1612281249.5496721,2455,-1.0087778568267822;;;;;;
1612281251.4117258,2460,-2.4899966716766357;;;;;;
1612281251.4117258,2462,-1.8029911518096924;;;;;;
1612281251.4117258,2463,-2.3916447162628174;;;;;;
1612281251.4117258,2465,-1.362809419631958;;;;;;
1612281251.4117258,2467,-1.4058456420898438;;;;;;
1612281252.967535,2478,-0.9259324073791504;;;;;;
1612281257.1829312,2490,-1.6800788640975952;;;;;;
1612281258.962181,2501,-0.979798436164856;;;;;;
1612281260.814718,2513,-1.2336162328720093;;;;;;
1612281262.6627793,2523,-1.1137616634368896;;;;;;
1612281264.42389,2530,-1.3714097738265991;;;;;;
1612281266.4579284,2543,-1.109743356704712;;;;;;
1612281266.4579284,2547,-1.1446082592010498;;;;;;
1612281268.61616,2552,-1.2257845401763916;;;;;;
1612281268.61616,2555,-2.5035910606384277;;;;;;
1612281268.61616,2556,-2.4177026748657227;;;;;;
1612281270.6550357,2562,-1.4344145059585571;;;;;;
1612281270.6550357,2564,-1.1851449012756348;;;;;;
1612281270.6560645,2567,-2.4529354572296143;;;;;;
1612281270.6560645,2569,-1.1097522974014282;;;;;;
1612281272.5968847,2575,-1.262279748916626;;;;;;
1612281278.965895,2607,-1.1457955837249756;;;;;;
1612281278.965895,2609,-1.3629693984985352;;;;;;
1612281280.9750094,2610,-2.4263172149658203;;;;;;
1612281280.976007,2618,-0.9156463146209717;;;;;;
1612281283.3486636,2623,-2.45207142829895;;;;;;
1612281285.451044,2631,-1.1508638858795166;;;;;;
1612281285.451044,2632,-2.4297032356262207;;;;;;
1612281285.451044,2634,-1.225277066230774;;;;;;
1612281287.2173228,2642,-1.0933274030685425;;;;;;
1612281287.2173228,2644,-1.0416996479034424;;;;;;
1612281287.2173228,2646,-3.0382513999938965;;;;;;
1612281287.2173228,2649,-1.0746386051177979;;;;;;
1612281288.8961396,2657,-1.0149297714233398;;;;;;
1612281291.2015269,2661,-3.246373414993286;;;;;;
1612281293.1662674,2676,-1.0928876399993896;;;;;;
1612281294.8956687,2686,-3.214865207672119;;;;;;
1612281294.8956687,2688,-1.091843605041504;;;;;;
1612281298.7882571,2706,-1.6875135898590088;;;;;;
1612281298.7882571,2708,-0.9965939521789551;;;;;;
1612281302.7356682,2726,-1.516534686088562;;;;;;
1612281307.2476068,2740,-1.1081295013427734;;;;;;
1612281307.2476068,2742,-1.111191987991333;;;;;;
1612281307.2486336,2748,-3.4018843173980713;;;;;;
1612281309.2534602,2752,-1.3803284168243408;;;;;;
1612281309.2534602,2754,-1.1157140731811523;;;;;;
1612281311.2969203,2768,-1.1341662406921387;;;;;;
1612281312.9564843,2770,-1.1816003322601318;;;;;;
1612281312.9564843,2772,-1.0920982360839844;;;;;;
1612281312.9564843,2774,-3.1876893043518066;;;;;;
1612281312.9564843,2779,-1.4552751779556274;;;;;;
1612281314.96221,2783,-1.012035846710205;;;;;;
1612281314.96221,2787,-1.0569746494293213;;;;;;
1612281318.7687037,2802,-1.6955755949020386;;;;;;
1612281320.7913022,2811,-0.9640250205993652;;;;;;
1612281320.7923188,2813,-1.0971317291259766;;;;;;
1612281320.7923188,2819,-3.2496376037597656;;;;;;
1612281324.8347685,2832,-3.6264913082122803;;;;;;
1612281324.8347685,2836,-1.9132189750671387;;;;;;
1612281328.8651927,2854,-1.1840250492095947;;;;;;
1612281330.5704267,2863,-1.18196702003479;;;;;;
1612281330.5704267,2865,-1.232851505279541;;;;;;
1612281330.5704267,2869,-1.1080169677734375;;;;;;
1612281332.692835,2871,-1.072395920753479;;;;;;
1612281334.4372044,2883,-1.2454696893692017;;;;;;
1612281336.641313,2896,-0.9959421157836914;;;;;;
1612281336.641313,2898,-1.0705088376998901;;;;;;
1612281341.5681374,2914,-1.2902753353118896;;;;;;
1612281343.4590843,2920,-2.4895174503326416;;;;;;
1612281343.4590843,2923,-2.4351747035980225;;;;;;
1612281346.0126688,2931,-1.462497353553772;;;;;;
1612281348.074193,2944,-1.641574740409851;;;;;;
1612281348.074193,2948,-1.2125636339187622;;;;;;
1612281349.9239883,2954,-1.13254976272583;;;;;;
1612281349.9239883,2957,-2.4024882316589355;;;;;;
1612281349.9239883,2959,-1.1764742136001587;;;;;;
1612281351.7561195,2967,-1.267021894454956;;;;;;
1612281353.5351076,2971,-2.4350478649139404;;;;;;
1612281355.1796863,2981,-1.1149884462356567;;;;;;
1612281355.1796863,2985,-1.7833666801452637;;;;;;
1612281356.9240487,2997,-1.1270910501480103;;;;;;
1612281356.9240487,2999,-1.1383239030838013;;;;;;
1612281359.1191561,3001,-1.631714105606079;;;;;;
1612281359.1191561,3009,-1.0359588861465454;;;;;;
1612281361.103731,3019,-1.074605941772461;;;;;;
1612281363.0704732,3025,-1.270248532295227;;;;;;
1612281363.0704732,3029,-3.2101035118103027;;;;;;
1612281365.2187614,3033,-2.461290121078491;;;;;;
1612281365.2187614,3039,-1.2751173973083496;;;;;;
1612281367.2203803,3047,-1.0717532634735107;;;;;;
1612281371.476011,3060,-0.971258819103241;;;;;;
1612281371.476011,3062,-0.9980483055114746;;;;;;
1612281371.476011,3064,-1.0236797332763672;;;;;;
1612281373.5142615,3078,-3.2216997146606445;;;;;;
1612281375.5490153,3082,-1.0131871700286865;;;;;;
