Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612198383.2713473,2609,-1.0688111782073975;;;;;
1612198385.20521,2618,-2.5197794437408447;;;;;
1612198385.6530135,2620,-1.046053409576416;;;;;
1612198388.9152436,2638,-0.956594705581665;;;;;
1612198389.2383683,2640,-1.2830231189727783;;;;;
1612198393.9218836,2662,-1.333095908164978;;;;;
1612198396.393331,2675,-2.395840644836426;;;;;
1612198396.9209225,2677,-1.215770959854126;;;;;
1612198397.665897,2681,-2.436166763305664;;;;;
1612198398.6293533,2684,-2.438404083251953;;;;;
1612198398.958442,2686,-0.9926188588142395;;;;;
1612198401.3430672,2697,-1.0503928661346436;;;;;
1612198401.8078249,2699,-1.1322131156921387;;;;;
1612198402.24366,2701,-1.0788958072662354;;;;;
1612198402.5588183,2703,-1.0023913383483887;;;;;
1612198403.8423872,2709,-1.001545786857605;;;;;
1612198404.7100997,2712,-2.437391519546509;;;;;
1612198405.033392,2715,-2.4560184478759766;;;;;
1612198408.250186,2730,-1.3166203498840332;;;;;
1612198410.31612,2740,-1.0101279020309448;;;;;
1612198410.7409587,2742,-1.2615599632263184;;;;;
1612198411.911861,2748,-0.9281349182128906;;;;;
1612198414.3585608,2761,-1.0494282245635986;;;;;
1612198415.2202258,2765,-1.4674177169799805;;;;;
1612198419.1846652,2784,-1.3060532808303833;;;;;
1612198421.3239105,2794,-1.10052490234375;;;;;
1612198421.7906623,2796,-0.948371410369873;;;;;
1612198422.794015,2800,-1.1394901275634766;;;;;
1612198423.163026,2802,-1.1576342582702637;;;;;
1612198425.2883196,2810,-1.129051685333252;;;;;
1612198427.7168949,2821,-1.0880169868469238;;;;;
1612198428.0120988,2823,-1.0332905054092407;;;;;
1612198432.2425923,2840,-1.085702896118164;;;;;
1612198433.50621,2846,-1.0431873798370361;;;;;
1612198434.3497386,2850,-1.0329363346099854;;;;;
1612198436.1563435,2858,-1.0851703882217407;;;;;
1612198439.5345669,2875,-2.3988678455352783;;;;;
