Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612188973.7886517,1340,-1.4578475952148438;;;;;
1612188974.4381354,1342,-1.591728925704956;;;;;
1612188975.0684178,1344,-1.475944995880127;;;;;
1612188976.406577,1348,-1.5327258110046387;;;;;
1612188977.02762,1350,-1.4841313362121582;;;;;
1612188978.9366236,1356,-1.391890048980713;;;;;
1612188981.3730924,1364,-1.4103456735610962;;;;;
1612188983.3411286,1370,-1.5899834632873535;;;;;
1612188984.1118386,1372,-1.3183224201202393;;;;;
1612188984.7672837,1374,-1.561305046081543;;;;;
1612188985.391796,1376,-1.5478334426879883;;;;;
1612188986.0765784,1378,-1.569908857345581;;;;;
1612188986.7022383,1380,-1.4788074493408203;;;;;
1612188987.365507,1382,-1.4180364608764648;;;;;
1612188988.0433595,1384,-1.4033949375152588;;;;;
1612188989.3484874,1388,-1.5591150522232056;;;;;
1612188989.9909575,1390,-1.4795860052108765;;;;;
1612188990.6443264,1392,-1.5651600360870361;;;;;
1612188993.348929,1400,-1.5124945640563965;;;;;
1612188995.94545,1408,-1.5436913967132568;;;;;
1612188996.5918322,1410,-1.4406909942626953;;;;;
1612188997.8491917,1414,-1.4450790882110596;;;;;
1612188998.45841,1416,-1.382175087928772;;;;;
1612188999.1032243,1418,-1.50149405002594;;;;;
1612188999.7167022,1420,-1.451701045036316;;;;;
1612189000.338219,1422,-1.3589097261428833;;;;;
1612189001.2725308,1424,-1.536334753036499;;;;;
1612189003.346403,1430,-1.5154666900634766;;;;;
1612189004.045622,1432,-1.5277864933013916;;;;;
1612189004.7142708,1434,-1.517590045928955;;;;;
1612189007.946829,1444,-1.4768364429473877;;;;;
1612189009.2868345,1448,-1.4349695444107056;;;;;
1612189009.9354827,1450,-1.5063014030456543;;;;;
1612189010.5958366,1452,-1.4324629306793213;;;;;
1612189011.270051,1454,-1.5755972862243652;;;;;
1612189012.5415478,1458,-1.5447112321853638;;;;;
1612189014.517519,1464,-1.3741240501403809;;;;;
1612189015.1582859,1466,-1.5148305892944336;;;;;
1612189017.176301,1472,-1.3984601497650146;;;;;
1612189017.8278043,1474,-1.488239049911499;;;;;
1612189018.4780717,1476,-1.5233685970306396;;;;;
1612189019.7560244,1480,-1.5346648693084717;;;;;
1612189021.1277795,1484,-1.5257384777069092;;;;;
1612189023.1828468,1490,-1.409096598625183;;;;;
1612189023.871167,1492,-1.3736934661865234;;;;;
1612189025.2073715,1496,-1.3189198970794678;;;;;
1612189027.1559677,1502,-1.5319435596466064;;;;;
1612189027.7948685,1504,-1.586172342300415;;;;;
1612189028.4282296,1506,-1.5434153079986572;;;;;
1612189029.765078,1510,-1.4650102853775024;;;;;
1612189030.3914895,1512,-1.4943203926086426;;;;;
1612189031.1102147,1514,-1.4503257274627686;;;;;
1612189031.7441838,1516,-1.3365002870559692;;;;;
1612189032.458275,1518,-1.3856562376022339;;;;;
1612189033.0947046,1520,-1.3799660205841064;;;;;
1612189033.754939,1522,-1.3565802574157715;;;;;
1612189034.3911066,1524,-1.5581331253051758;;;;;
1612189036.3313174,1530,-1.5572633743286133;;;;;
1612189036.9734943,1532,-1.3396974802017212;;;;;
1612189039.5837133,1540,-1.3276066780090332;;;;;
1612189040.2579875,1542,-1.3759164810180664;;;;;
1612189041.5958858,1546,-1.3896942138671875;;;;;
1612189042.9908242,1550,-1.5412812232971191;;;;;
1612189044.264423,1554,-1.3713836669921875;;;;;
1612189044.9086726,1556,-1.3757035732269287;;;;;
1612189045.5419867,1558,-1.4563214778900146;;;;;
1612189046.21373,1560,-1.4797463417053223;;;;;
1612189046.8471835,1562,-1.39498770236969;;;;;
1612189047.5089152,1564,-1.341444492340088;;;;;
1612189048.7835162,1568,-1.4732403755187988;;;;;
1612189050.151974,1572,-1.3911213874816895;;;;;
1612189051.5145988,1576,-1.5479892492294312;;;;;
1612189053.5165358,1582,-1.4472606182098389;;;;;
1612189054.231149,1584,-1.492245078086853;;;;;
1612189054.8865402,1586,-1.5547442436218262;;;;;
1612189055.5128665,1588,-1.3769431114196777;;;;;
1612189056.146271,1590,-1.5016785860061646;;;;;
1612189058.7145114,1598,-1.433948040008545;;;;;
1612189060.0651813,1602,-1.4119635820388794;;;;;
1612189060.7151182,1604,-1.4555751085281372;;;;;
1612189062.0432038,1608,-1.3573089838027954;;;;;
1612189064.2159305,1614,-1.4025875329971313;;;;;
1612189065.5259776,1618,-1.580451488494873;;;;;
1612189066.1552246,1620,-1.3518657684326172;;;;;
1612189066.7944815,1622,-1.5869543552398682;;;;;
1612189068.7614756,1628,-1.402393102645874;;;;;
1612189070.6911259,1634,-1.485154628753662;;;;;
1612189071.3333864,1636,-1.3955676555633545;;;;;
1612189072.701381,1640,-1.5439071655273438;;;;;
1612189073.9872172,1644,-1.4770420789718628;;;;;
1612189075.255819,1648,-1.4911869764328003;;;;;
1612189075.9080493,1650,-1.3252688646316528;;;;;
1612189078.516508,1658,-1.392455816268921;;;;;
1612189079.8405309,1662,-1.5435864925384521;;;;;
1612189080.5645971,1664,-1.4204773902893066;;;;;
1612189081.2256455,1666,-1.4056740999221802;;;;;
