Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186757.6723957,1768,-1.0221056938171387;;;;;
1612186758.1092296,1770,-1.1010783910751343;;;;;
1612186758.8817248,1775,-1.1410001516342163;;;;;
1612186759.3494444,1777,-1.2705399990081787;;;;;
1612186759.9277313,1779,-1.1652355194091797;;;;;
1612186760.710653,1783,-1.2464096546173096;;;;;
1612186761.0616999,1785,-1.3845043182373047;;;;;
1612186764.5764306,1800,-1.27156662940979;;;;;
1612186765.877943,1808,-0.9916999340057373;;;;;
1612186766.6449142,1812,-1.274322509765625;;;;;
1612186767.5115597,1816,-1.5357394218444824;;;;;
1612186767.9404547,1818,-1.3695383071899414;;;;;
1612186768.5508018,1823,-2.544266939163208;;;;;
1612186769.8752675,1828,-2.430389404296875;;;;;
1612186770.2143612,1830,-1.320115566253662;;;;;
1612186770.513561,1832,-1.2155840396881104;;;;;
1612186770.7918134,1834,-0.935228705406189;;;;;
1612186771.9786136,1840,-1.1443119049072266;;;;;
1612186774.7582433,1854,-1.4547069072723389;;;;;
1612186775.0973613,1857,-1.1171188354492188;;;;;
1612186775.969007,1861,-1.0202525854110718;;;;;
1612186776.8277435,1865,-1.2393929958343506;;;;;
1612186777.1588402,1867,-1.370032548904419;;;;;
1612186778.213925,1873,-1.1241209506988525;;;;;
1612186778.891885,1877,-1.1400082111358643;;;;;
1612186779.8862495,1881,-0.929489254951477;;;;;
1612186782.1062915,1891,-1.0501012802124023;;;;;
1612186785.0495772,1902,-2.5286903381347656;;;;;
1612186785.3338158,1904,-1.4130759239196777;;;;;
1612186786.1127343,1909,-2.4769351482391357;;;;;
1612186787.0599842,1913,-1.0546197891235352;;;;;
1612186789.3083303,1924,-1.007025957107544;;;;;
1612186789.7003171,1926,-1.0543612241744995;;;;;
1612186790.0384116,1929,-2.446063756942749;;;;;
1612186790.8053372,1933,-0.9816092252731323;;;;;
1612186792.3581793,1940,-2.4634718894958496;;;;;
1612186793.513091,1947,-0.9905855059623718;;;;;
1612186794.6241534,1951,-1.0172405242919922;;;;;
1612186796.311642,1958,-2.4272406101226807;;;;;
1612186796.743491,1960,-0.9959075450897217;;;;;
1612186797.078595,1962,-1.161615252494812;;;;;
1612186799.6956067,1976,-0.9709352254867554;;;;;
1612186800.0306706,1978,-1.2121628522872925;;;;;
1612186802.1389003,1989,-1.6523733139038086;;;;;
1612186803.7565496,1997,-1.1530325412750244;;;;;
1612186804.1933756,1999,-1.0792038440704346;;;;;
1612186804.6461833,2001,-0.9120047092437744;;;;;
1612186808.1527927,2018,-1.1119821071624756;;;;;
1612186809.1381683,2022,-1.2951239347457886;;;;;
1612186810.5723255,2028,-0.9650132060050964;;;;;
1612186812.3695314,2039,-1.0682921409606934;;;;;
1612186812.893197,2041,-1.1236661672592163;;;;;
1612186814.4699779,2046,-2.471907377243042;;;;;
1612186815.324697,2052,-1.098291277885437;;;;;
1612186815.5989318,2054,-0.9343975186347961;;;;;
1612186816.03377,2056,-0.9605125188827515;;;;;
1612186817.2186325,2062,-1.0199475288391113;;;;;
1612186820.5840855,2081,-1.0030057430267334;;;;;
1612186821.8557096,2087,-1.124362826347351;;;;;
1612186822.4960022,2091,-2.5215322971343994;;;;;
1612186822.920852,2093,-1.118483543395996;;;;;
1612186823.221058,2095,-0.9321550130844116;;;;;
1612186824.5125809,2101,-1.0694665908813477;;;;;
1612186825.0142715,2103,-1.0479027032852173;;;;;
1612186825.4661067,2104,-2.447618246078491;;;;;
1612186830.5564654,2134,-1.077930212020874;;;;;
1612186831.7941883,2140,-0.9727522134780884;;;;;
1612186832.0804029,2143,-1.094231128692627;;;;;
1612186832.508255,2145,-1.0272974967956543;;;;;
1612186833.4567587,2149,-1.035696029663086;;;;;
1612186833.7968168,2150,-2.459273338317871;;;;;
1612186834.5837016,2155,-0.9925458431243896;;;;;
1612186835.7844906,2161,-1.3024089336395264;;;;;
1612186836.2263346,2163,-1.3749034404754639;;;;;
1612186837.323402,2166,-2.4831900596618652;;;;;
1612186837.7721775,2169,-1.0776777267456055;;;;;
1612186838.7387033,2172,-2.487049102783203;;;;;
1612186839.7070584,2176,-0.9517465233802795;;;;;
1612186840.5587733,2181,-2.9236385822296143;;;;;
1612186841.5481112,2184,-1.3528659343719482;;;;;
1612186842.348009,2188,-1.0960609912872314;;;;;
1612186843.0591092,2192,-1.0559396743774414;;;;;
1612186843.7691753,2196,-1.0858935117721558;;;;;
1612186844.4892507,2200,-1.0638253688812256;;;;;
1612186848.4936054,2219,-1.3534250259399414;;;;;
1612186850.4692147,2226,-1.0466086864471436;;;;;
1612186851.6730201,2233,-1.115268349647522;;;;;
1612186852.0041115,2235,-1.0713081359863281;;;;;
1612186852.290346,2237,-1.0764368772506714;;;;;
1612186852.8877492,2241,-1.4884411096572876;;;;;
1612186854.1553605,2247,-1.083418369293213;;;;;
1612186855.3521621,2252,-1.3080822229385376;;;;;
1612186855.6434116,2255,-1.1785008907318115;;;;;
