Wall time,Step,Value;;;;"Average Reward; Last 50 Episodes:";
1612191155.2052894,3327,-1.1993052959442139;;;;;
1612191155.498742,3329,-1.2322641611099243;;;;;
1612191156.4081738,3335,-1.1909728050231934;;;;;
1612191157.0034266,3339,-1.0679075717926025;;;;;
1612191157.605814,3343,-1.0940001010894775;;;;;
1612191161.0613594,3367,-1.1102910041809082;;;;;
1612191163.6846855,3385,-1.0973992347717285;;;;;
1612191165.4897356,3397,-1.1044120788574219;;;;;
1612191165.780958,3399,-1.1198370456695557;;;;;
1612191167.5715837,3411,-1.1990227699279785;;;;;
1612191167.8787913,3413,-1.11298406124115;;;;;
1612191168.1731315,3415,-1.1810376644134521;;;;;
1612191170.5437298,3431,-1.1301839351654053;;;;;
1612191172.5988514,3445,-1.2346384525299072;;;;;
1612191174.9165893,3461,-1.17436683177948;;;;;
1612191175.225,3463,-1.1836721897125244;;;;;
1612191176.1026578,3469,-1.0653951168060303;;;;;
1612191178.170496,3483,-1.2111101150512695;;;;;
1612191178.7669513,3487,-1.2509164810180664;;;;;
1612191179.9222994,3495,-1.1223623752593994;;;;;
1612191182.9062045,3515,-1.1644279956817627;;;;;
1612191183.2403116,3517,-1.0759778022766113;;;;;
1612191184.0752566,3523,-1.2414679527282715;;;;;
1612191185.5378482,3533,-1.2036786079406738;;;;;
1612191186.7639441,3541,-1.188364028930664;;;;;
1612191190.6186373,3567,-1.1666370630264282;;;;;
1612191191.2132933,3571,-1.1460037231445312;;;;;
1612191191.5005252,3573,-1.2829341888427734;;;;;
1612191193.3175292,3585,-1.1905732154846191;;;;;
1612191193.6063516,3587,-1.153963565826416;;;;;
1612191193.9113903,3589,-1.1705596446990967;;;;;
1612191194.5287855,3593,-1.2866252660751343;;;;;
1612191195.1435702,3597,-1.1922951936721802;;;;;
1612191198.8123167,3621,-1.1958849430084229;;;;;
1612191201.494115,3639,-1.228539228439331;;;;;
1612191202.6816566,3647,-1.1502234935760498;;;;;
1612191204.1859126,3657,-1.2061477899551392;;;;;
1612191204.47621,3659,-1.1232844591140747;;;;;
1612191205.9908526,3669,-1.1058059930801392;;;;;
1612191207.746916,3681,-1.2538615465164185;;;;;
1612191208.0361965,3683,-1.0446929931640625;;;;;
1612191209.8434017,3695,-1.1245741844177246;;;;;
1612191210.9814708,3703,-1.0854249000549316;;;;;
1612191211.579371,3707,-1.100872278213501;;;;;
1612191212.1768289,3711,-1.207231044769287;;;;;
1612191213.997762,3723,-1.120074987411499;;;;;
1612191214.9103146,3729,-1.1613101959228516;;;;;
1612191215.5272784,3733,-1.1719930171966553;;;;;
1612191216.6961195,3739,-1.2233829498291016;;;;;
1612191217.5286822,3745,-1.2376965284347534;;;;;
1612191218.4020128,3751,-1.1919527053833008;;;;;
1612191219.0532732,3755,-1.0701336860656738;;;;;
1612191221.1636317,3769,-1.1753044128417969;;;;;
1612191221.7800179,3773,-1.2512621879577637;;;;;
1612191225.362808,3797,-1.2243590354919434;;;;;
1612191225.6900282,3799,-1.2891039848327637;;;;;
