Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612301534.4496627,2227,-1.571117639541626;;;;;
1612301534.4496627,2231,-1.1892149448394775;;;;;
1612301534.4496627,2235,-1.2008750438690186;;;;;
1612301534.4496627,2239,-1.6193456649780273;;;;;
1612301539.739258,2244,-1.2602813243865967;;;;;
1612301539.739258,2248,-1.7718483209609985;;;;;
1612301539.739258,2252,-1.3232312202453613;;;;;
1612301539.7402546,2255,-1.5173780918121338;;;;;
1612301539.7412536,2258,-2.418475389480591;;;;;
1612301545.481146,2260,-1.3357971906661987;;;;;
1612301545.481146,2261,-2.420032262802124;;;;;
1612301550.5935526,2280,-1.4431568384170532;;;;;
1612301550.5935526,2288,-1.7425601482391357;;;;;
1612301550.5935526,2295,-1.7868292331695557;;;;;
1612301550.5935526,2296,-2.4416890144348145;;;;;
1612301550.5945501,2298,-1.086925745010376;;;;;
1612301555.6060407,2302,-1.3396210670471191;;;;;
1612301555.6060407,2308,-3.7119064331054688;;;;;
1612301555.6070588,2314,-0.9435914158821106;;;;;
1612301555.6070588,2318,-1.6189184188842773;;;;;
1612301560.244688,2324,-1.9331445693969727;;;;;
1612301560.244688,2327,-2.5009186267852783;;;;;
1612301560.244688,2335,-1.0649120807647705;;;;;
1612301560.2457185,2339,-1.7988735437393188;;;;;
1612301565.585108,2343,-1.6548230648040771;;;;;
1612301565.585108,2345,-1.6762261390686035;;;;;
1612301565.585108,2351,-1.38876473903656;;;;;
1612301565.585108,2353,-1.4572921991348267;;;;;
1612301565.586106,2355,-1.6064311265945435;;;;;
1612301565.586106,2357,-1.5166001319885254;;;;;
1612301571.2203364,2361,-1.1777994632720947;;;;;
1612301571.2203364,2370,-1.6313329935073853;;;;;
1612301571.2203364,2376,-1.4355409145355225;;;;;
1612301575.2570841,2386,-1.1331285238265991;;;;;
1612301575.2570841,2390,-3.198759078979492;;;;;
1612301580.1053727,2401,-1.360907793045044;;;;;
1612301580.1053727,2409,-3.2930099964141846;;;;;
1612301580.1053727,2411,-1.1989624500274658;;;;;
1612301580.1053727,2412,-2.381793975830078;;;;;
1612301580.1053727,2414,-0.9135792255401611;;;;;
1612301580.1063702,2417,-1.3066086769104004;;;;;
1612301584.8824587,2422,-1.0932908058166504;;;;;
1612301584.8824587,2424,-1.54433274269104;;;;;
1612301584.8824587,2428,-3.4744327068328857;;;;;
1612301584.8824587,2430,-1.643842101097107;;;;;
1612301589.179898,2443,-1.169127106666565;;;;;
1612301589.179898,2447,-1.259582281112671;;;;;
1612301589.179898,2453,-3.3325259685516357;;;;;
1612301589.180929,2455,-1.125805139541626;;;;;
1612301593.6380365,2461,-1.3607228994369507;;;;;
1612301593.6380365,2463,-1.508018970489502;;;;;
1612301593.6390026,2473,-1.1730576753616333;;;;;
1612301593.6390026,2475,-1.3540663719177246;;;;;
1612301593.6390026,2477,-1.303060531616211;;;;;
1612301598.673147,2483,-1.611277461051941;;;;;
1612301598.673147,2487,-1.1961103677749634;;;;;
1612301598.673147,2489,-1.943110466003418;;;;;
1612301598.673147,2490,-2.483548164367676;;;;;
1612301598.673147,2492,-1.1689425706863403;;;;;
1612301598.673147,2494,-1.2680314779281616;;;;;
1612301598.673147,2496,-1.2945420742034912;;;;;
1612301602.8472552,2508,-1.0326789617538452;;;;;
1612301602.84826,2518,-1.43309485912323;;;;;
1612301607.6907203,2520,-1.2683234214782715;;;;;
1612301607.6907203,2521,-2.411203384399414;;;;;
1612301607.6907203,2531,-1.8146984577178955;;;;;
1612301607.6916928,2538,-1.0147658586502075;;;;;
1612301611.5696125,2542,-0.9319382905960083;;;;;
1612301611.5696125,2544,-1.2684502601623535;;;;;
1612301611.5696125,2552,-1.2985318899154663;;;;;
