Wall time,Step,Value;;;;;
1612299461.6254697,920,-1.0803086757659912;;;;;
1612299461.6254697,924,-1.9161008596420288;;;;;
1612299461.6265001,931,-1.237173080444336;;;;;
1612299461.6274655,947,-1.6886494159698486;;;;;
1612299461.628494,951,-1.6343817710876465;;;;;
1612299461.628494,953,-1.1860755681991577;;;;;
1612299461.628494,959,-1.4717817306518555;;;;;
1612299461.6294599,971,-1.7124814987182617;;;;;
1612299461.6304915,984,-1.8919626474380493;;;;;
1612299461.6304915,986,-1.0802552700042725;;;;;
1612299461.631454,992,-1.8680906295776367;;;;;
1612299461.631454,994,-1.4515011310577393;;;;;
1612299461.631454,1001,-1.9049404859542847;;;;;
1612299461.632486,1010,-2.0450592041015625;;;;;
1612299461.632486,1012,-1.3174769878387451;;;;;
1612299489.2868235,1033,-1.5506017208099365;;;;;
1612299489.2868235,1039,-1.5916454792022705;;;;;
1612299489.2868235,1041,-1.8307983875274658;;;;;
1612299489.2878225,1045,-1.534104824066162;;;;;
1612299489.2878225,1048,-2.483492136001587;;;;;
1612299489.2878225,1051,-2.444620370864868;;;;;
1612299489.2898207,1071,-2.397198438644409;;;;;
1612299489.290815,1078,-2.4166464805603027;;;;;
1612299489.290815,1082,-1.220981478691101;;;;;
1612299489.290815,1088,-1.3611865043640137;;;;;
1612299489.290815,1091,-1.241112232208252;;;;;
1612299489.291781,1101,-1.0571995973587036;;;;;
1612299489.291781,1103,-1.8370864391326904;;;;;
1612299489.293775,1115,-1.168107271194458;;;;;
1612299489.293775,1119,-1.822945475578308;;;;;
1612299489.293775,1121,-1.8834805488586426;;;;;
1612299489.293775,1125,-1.2267746925354004;;;;;
1612299489.293775,1126,-2.8411340713500977;;;;;
1612299489.293775,1131,-2.5521080493927;;;;;
1612299489.2947726,1135,-1.0511361360549927;;;;;
1612299489.2957964,1143,-1.2283434867858887;;;;;
1612299489.2957964,1145,-1.2458521127700806;;;;;
1612299489.2957964,1147,-1.9235897064208984;;;;;
1612299516.932983,1163,-1.4089782238006592;;;;;
1612299516.932983,1167,-1.8856333494186401;;;;;
1612299516.9339566,1175,-1.879648208618164;;;;;
1612299516.9339566,1177,-1.623650074005127;;;;;
1612299516.9339566,1179,-1.7705318927764893;;;;;
1612299516.9349563,1187,-1.8237206935882568;;;;;
1612299516.9359534,1193,-1.2368800640106201;;;;;
1612299516.9359534,1195,-2.05082106590271;;;;;
1612299516.9359534,1201,-1.5734484195709229;;;;;
1612299516.9359534,1204,-1.9245939254760742;;;;;
1612299516.9359534,1206,-1.236517071723938;;;;;
