Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270478.0512483,1994,-1.4604257345199585;;;;;
1612270480.1031692,2005,-1.3758749961853027;;;;;
1612270481.596481,2012,-0.964240550994873;;;;;
1612270482.0607686,2014,-1.184593915939331;;;;;
1612270482.665256,2016,-1.0676345825195312;;;;;
1612270485.5224652,2031,-0.929625391960144;;;;;
1612270486.181373,2034,-1.2387381792068481;;;;;
1612270486.8609023,2039,-2.4713425636291504;;;;;
1612270488.9515934,2049,-2.4417612552642822;;;;;
1612270489.313536,2051,-1.2045373916625977;;;;;
1612270490.8311768,2059,-1.1031817197799683;;;;;
1612270491.9001267,2065,-1.4427400827407837;;;;;
1612270492.216306,2067,-0.9645867347717285;;;;;
1612270492.5918505,2069,-1.022072196006775;;;;;
1612270497.7572596,2093,-0.958082914352417;;;;;
1612270499.0668328,2099,-1.1799224615097046;;;;;
1612270500.37402,2104,-1.0817663669586182;;;;;
1612270500.6670837,2106,-1.4009730815887451;;;;;
1612270500.9784584,2108,-1.177876353263855;;;;;
1612270502.093223,2114,-1.625411033630371;;;;;
1612270502.4553833,2116,-1.1567895412445068;;;;;
1612270502.7807884,2118,-1.0814967155456543;;;;;
1612270509.0591092,2149,-1.2937443256378174;;;;;
1612270509.6657093,2151,-2.820922613143921;;;;;
1612270509.9511912,2152,-2.4244394302368164;;;;;
1612270510.5133371,2155,-2.4402058124542236;;;;;
1612270510.8123345,2156,-2.4548513889312744;;;;;
1612270512.7823052,2167,-0.9780821800231934;;;;;
1612270513.3206074,2169,-1.0736335515975952;;;;;
1612270513.8763573,2172,-1.4315004348754883;;;;;
1612270514.5819511,2176,-1.2254141569137573;;;;;
1612270515.2313082,2180,-0.931035041809082;;;;;
1612270515.5720885,2183,-2.3924601078033447;;;;;
1612270516.8664982,2188,-0.9457676410675049;;;;;
1612270517.2254188,2191,-0.9905285835266113;;;;;
1612270517.8467333,2195,-1.2370414733886719;;;;;
1612270518.6505601,2199,-1.3768982887268066;;;;;
1612270519.371341,2203,-1.0182301998138428;;;;;
1612270520.3900928,2207,-1.3319485187530518;;;;;
1612270524.1992335,2225,-1.276097059249878;;;;;
1612270525.3895717,2231,-1.343045949935913;;;;;
1612270526.532545,2237,-2.439955949783325;;;;;
1612270527.171249,2239,-1.0712512731552124;;;;;
1612270527.544529,2240,-2.456803798675537;;;;;
1612270528.2931488,2244,-1.2458864450454712;;;;;
1612270529.2092824,2248,-2.4799160957336426;;;;;
1612270530.2083883,2254,-1.0171585083007812;;;;;
1612270530.5640414,2257,-2.3915975093841553;;;;;
1612270531.8060594,2263,-1.1295890808105469;;;;;
1612270533.8799584,2274,-1.1031103134155273;;;;;
1612270534.5895848,2278,-1.163087010383606;;;;;
1612270535.282788,2282,-1.1908276081085205;;;;;
1612270535.7890291,2284,-1.4740527868270874;;;;;
1612270536.5286877,2289,-1.0336568355560303;;;;;
1612270536.9824696,2291,-1.283109426498413;;;;;
1612270537.4841971,2293,-0.9461917877197266;;;;;
1612270538.4307382,2298,-1.1394898891448975;;;;;
1612270541.662437,2314,-0.9497670531272888;;;;;
1612270543.2469435,2323,-1.0857970714569092;;;;;
1612270543.9236403,2327,-1.174394130706787;;;;;
1612270546.0496142,2337,-1.3559000492095947;;;;;
1612270547.661862,2344,-1.3053545951843262;;;;;
1612270547.661862,2345,-2.4991633892059326;;;;;
1612270547.9491425,2347,-1.1406790018081665;;;;;
1612270548.240662,2349,-1.076733946800232;;;;;
1612270550.2140906,2361,-1.1054813861846924;;;;;
1612270551.4041822,2367,-1.1130948066711426;;;;;
